Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Regress 5,,,,2022-06-16 14:17:43,2022-06-16 15:17:11,59m - 28.006s,FAILED
,,,,,,,
Test Cases/Transfer/asnb_asnbTransfer,,,,2022-06-16 14:17:43,2022-06-16 14:27:58,10m - 14.277s,FAILED
"setMobileDriverPreferencesProperty(""appPackage"", ""com.maybank2u.life.uat"")",,,,2022-06-16 14:17:44,2022-06-16 14:17:44,0.002s,PASSED
"setMobileDriverPreferencesProperty(""appActivity"", ""com.maybank2u.life.MainActivity"")",,,,2022-06-16 14:17:44,2022-06-16 14:17:44,0.000s,PASSED
"startApplication(""/Users/a00139272/Katalon Studio/MAE/androidapp/app-sit-universal-release-copy.apk"", false)",,,,2022-06-16 14:17:44,2022-06-16 14:17:59,15.332s,PASSED
delay(5),,,,2022-06-16 14:17:59,2022-06-16 14:18:04,5.023s,PASSED
device_Height = getDeviceHeight(),,,,2022-06-16 14:18:04,2022-06-16 14:18:05,0.188s,PASSED
device_Width = getDeviceWidth(),,,,2022-06-16 14:18:05,2022-06-16 14:18:05,0.116s,PASSED
startX = device_Width / 3,,,,2022-06-16 14:18:05,2022-06-16 14:18:05,0.002s,PASSED
startY = device_Height * 0.97,,,,2022-06-16 14:18:05,2022-06-16 14:18:05,0.001s,PASSED
"tapAtPosition(startX, startY)",,,,2022-06-16 14:18:05,2022-06-16 14:18:05,0.263s,PASSED
"if (verifyElementVisible(findTestObject(""Main/mainEnterPINMessage""), 0, OPTIONAL))",,,,2022-06-16 14:18:05,2022-06-16 14:18:18,12.951s,PASSED
"verifyElementVisible(findTestObject(""Banking/m2uAccountTypeSelection"", [""text"":""MAE""]), 10)",,,,2022-06-16 14:18:18,2022-06-16 14:18:25,6.709s,PASSED
"tap(findTestObject(""Banking/m2uAccountTypeSelection"", [""text"":""MAE""]), 10)",,,,2022-06-16 14:18:25,2022-06-16 14:18:25,0.461s,PASSED
delay(5),,,,2022-06-16 14:18:25,2022-06-16 14:18:30,5.007s,PASSED
"tap(findTestObject(""Banking/m2uAccountTransferIconSelect""), 0)",,,,2022-06-16 14:18:30,2022-06-16 14:18:30,0.379s,PASSED
delay(3),,,,2022-06-16 14:18:30,2022-06-16 14:18:33,3.005s,PASSED
"if (verifyElementVisible(findTestObject(""Tabung/tabungEnterPasswordTxt""), 0, OPTIONAL))",,,,2022-06-16 14:18:33,2022-06-16 14:22:20,3m - 46.445s,PASSED
delay(3),,,,2022-06-16 14:22:20,2022-06-16 14:22:23,3.007s,PASSED
"tap(findTestObject(""ASNB/transferASNBTopBtn""), 0)",,,,2022-06-16 14:22:23,2022-06-16 14:23:24,1m - 0.645s,PASSED
"tap(findTestObject(""ASNB/asnbTransferBtn""), 0)",,,,2022-06-16 14:23:24,2022-06-16 14:24:16,52.878s,PASSED
"verifyElementExist(findTestObject(""ASNB/transferASNBProductNameTitleTxt""), 0)",,,,2022-06-16 14:24:16,2022-06-16 14:24:17,0.199s,PASSED
"verifyElementExist(findTestObject(""ASNB/transferASNBProductNameSelectTxt"", [""productName"":productNameInitial]), 0)",,,,2022-06-16 14:24:17,2022-06-16 14:24:17,0.775s,PASSED
"tap(findTestObject(""ASNB/asnbSelectProductDropdown""), 0)",,,,2022-06-16 14:24:17,2022-06-16 14:24:18,0.245s,PASSED
"verifyElementText(findTestObject(""ASNB/asnbProductEquity3DropdownSelection"", [""productType"":productType]), productType)",,,,2022-06-16 14:24:18,2022-06-16 14:24:19,0.965s,PASSED
