Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Regress 5,,,,2022-06-23 12:02:53,2022-06-23 12:55:16,52m - 23.609s,FAILED
,,,,,,,
Test Cases/Transfer/asnb_asnbTransfer,,,,2022-06-23 12:02:53,2022-06-23 12:12:17,9m - 23.752s,PASSED
"setMobileDriverPreferencesProperty(""appPackage"", ""com.maybank2u.life.sit"")",,,,2022-06-23 12:02:54,2022-06-23 12:02:54,0.002s,PASSED
"setMobileDriverPreferencesProperty(""appActivity"", ""com.maybank2u.life.MainActivity"")",,,,2022-06-23 12:02:54,2022-06-23 12:02:54,0.001s,PASSED
"startApplication(""/Users/a00139272/Katalon Studio/MAE/androidapp/app-sit-universal-release-copy.apk"", false)",,,,2022-06-23 12:02:54,2022-06-23 12:03:09,15.363s,PASSED
delay(5),,,,2022-06-23 12:03:09,2022-06-23 12:03:14,5.021s,PASSED
device_Height = getDeviceHeight(),,,,2022-06-23 12:03:14,2022-06-23 12:03:14,0.144s,PASSED
device_Width = getDeviceWidth(),,,,2022-06-23 12:03:14,2022-06-23 12:03:14,0.086s,PASSED
startX = device_Width / 3,,,,2022-06-23 12:03:14,2022-06-23 12:03:14,0.002s,PASSED
startY = device_Height * 0.97,,,,2022-06-23 12:03:14,2022-06-23 12:03:14,0.001s,PASSED
"tapAtPosition(startX, startY)",,,,2022-06-23 12:03:14,2022-06-23 12:03:14,0.248s,PASSED
"if (verifyElementVisible(findTestObject(""Main/mainEnterPINMessage""), 0, OPTIONAL))",,,,2022-06-23 12:03:14,2022-06-23 12:03:27,12.816s,PASSED
"verifyElementVisible(findTestObject(""Banking/m2uAccountTypeSelection"", [""text"":""MAE""]), 10)",,,,2022-06-23 12:03:27,2022-06-23 12:03:39,11.979s,PASSED
"tap(findTestObject(""Banking/m2uAccountTypeSelection"", [""text"":""MAE""]), 10)",,,,2022-06-23 12:03:39,2022-06-23 12:03:40,0.340s,PASSED
delay(5),,,,2022-06-23 12:03:40,2022-06-23 12:03:45,5.007s,PASSED
"tap(findTestObject(""Banking/m2uAccountTransferIconSelect""), 0)",,,,2022-06-23 12:03:45,2022-06-23 12:03:45,0.298s,PASSED
delay(3),,,,2022-06-23 12:03:45,2022-06-23 12:03:48,3.005s,PASSED
"if (verifyElementVisible(findTestObject(""Tabung/tabungEnterPasswordTxt""), 0, OPTIONAL))",,,,2022-06-23 12:03:48,2022-06-23 12:07:34,3m - 46.336s,PASSED
delay(3),,,,2022-06-23 12:07:34,2022-06-23 12:07:37,3.006s,PASSED
"tap(findTestObject(""ASNB/transferASNBTopBtn""), 0)",,,,2022-06-23 12:07:37,2022-06-23 12:08:38,1m - 0.570s,PASSED
"tap(findTestObject(""ASNB/asnbTransferBtn""), 0)",,,,2022-06-23 12:08:38,2022-06-23 12:09:30,52.393s,PASSED
"verifyElementExist(findTestObject(""ASNB/transferASNBProductNameTitleTxt""), 0)",,,,2022-06-23 12:09:30,2022-06-23 12:09:31,0.750s,PASSED
"verifyElementExist(findTestObject(""ASNB/transferASNBProductNameSelectTxt"", [""productName"":productNameInitial]), 0)",,,,2022-06-23 12:09:31,2022-06-23 12:09:32,0.775s,PASSED
"tap(findTestObject(""ASNB/asnbSelectProductDropdown""), 0)",,,,2022-06-23 12:09:32,2022-06-23 12:09:32,0.218s,PASSED
"verifyElementText(findTestObject(""ASNB/asnbProductEquity3DropdownSelection"", [""productType"":productType]), productType)",,,,2022-06-23 12:09:32,2022-06-23 12:09:33,1.092s,PASSED
"tap(findTestObject(""ASNB/asnbProductEquity3DropdownSelection"", [""productType"":productType]), 0)",,,,2022-06-23 12:09:33,2022-06-23 12:09:33,0.227s,PASSED
"tap(findTestObject(""Main/mainCalenderPickerDoneBtn""), 0)",,,,2022-06-23 12:09:33,2022-06-23 12:09:34,0.917s,PASSED
"verifyElementText(findTestObject(""ASNB/transferASNBProductNameSelectTxt"", [""productName"":productType]), productType)",,,,2022-06-23 12:09:34,2022-06-23 12:09:35,0.796s,PASSED
