Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Regress 1,,,,2022-06-27 21:45:18,2022-06-27 22:06:18,20m - 59.730s,FAILED
,,,,,,,
Test Cases/Login Onboard/onboard_onboardIntoMAE,,,,2022-06-27 21:45:18,2022-06-27 21:47:42,2m - 23.742s,PASSED
"setMobileDriverPreferencesProperty(""appPackage"", ""com.maybank2u.life.sit"")",,,,2022-06-27 21:45:19,2022-06-27 21:45:19,0.001s,PASSED
"setMobileDriverPreferencesProperty(""appActivity"", ""com.maybank2u.life.MainActivity"")",,,,2022-06-27 21:45:19,2022-06-27 21:45:19,0.000s,PASSED
"startApplication(appPath, false)",,,,2022-06-27 21:45:19,2022-06-27 21:45:34,15.214s,PASSED
"if (verifyElementVisible(findTestObject(""Login Onboarding/onboardWelcomeSkipBtn""), 0, OPTIONAL))",,,,2022-06-27 21:45:34,2022-06-27 21:45:37,3.533s,PASSED
"tap(findTestObject(""Dashboard/dashboardSetUpWalletIcon""), 0)",,,,2022-06-27 21:45:37,2022-06-27 21:45:40,2.926s,PASSED
"tap(findTestObject(""Login Onboarding/getStartedExistingUserBtn""), 0)",,,,2022-06-27 21:45:40,2022-06-27 21:45:42,1.928s,PASSED
"setText(findTestObject(""Login Onboarding/loginExistingUsernameInputField""), Username, 0)",,,,2022-06-27 21:45:42,2022-06-27 21:45:45,2.811s,PASSED
hideKeyboard(),,,,2022-06-27 21:45:45,2022-06-27 21:45:47,2.297s,PASSED
"tap(findTestObject(""Login Onboarding/loginExistingContinueBtn""), 0)",,,,2022-06-27 21:45:47,2022-06-27 21:45:48,0.337s,PASSED
"waitForElementPresent(findTestObject(""Login Onboarding/loginExistingMineConfirmationBtn""), 50)",,,,2022-06-27 21:45:48,2022-06-27 21:45:49,1.698s,PASSED
"tap(findTestObject(""Login Onboarding/loginExistingMineConfirmationBtn""), 0)",,,,2022-06-27 21:45:49,2022-06-27 21:45:50,0.281s,PASSED
"setText(findTestObject(""Login Onboarding/loginPasswordInputField""), Password, 0)",,,,2022-06-27 21:45:50,2022-06-27 21:45:52,2.453s,PASSED
hideKeyboard(),,,,2022-06-27 21:45:52,2022-06-27 21:45:56,4.008s,PASSED
"tap(findTestObject(""Login Onboarding/loginExistingContinueBtn""), 0)",,,,2022-06-27 21:45:56,2022-06-27 21:45:56,0.385s,PASSED
"if (verifyElementVisible(findTestObject(""Login Onboarding/Proceed""), 3, OPTIONAL))",,,,2022-06-27 21:45:56,2022-06-27 21:46:00,3.192s,PASSED
else,,,,2022-06-27 21:46:00,2022-06-27 21:46:00,0.001s,PASSED
"tap(findTestObject(""Login Onboarding/PIN1""), 0)",,,,2022-06-27 21:46:00,2022-06-27 21:46:07,7.146s,PASSED
