Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Regress 3,,,,2022-03-06 22:49:43,2022-03-06 23:25:05,35m - 22.111s,ERROR
,,,,,,,
Test Cases/Transfer/transfer_moneyTransferMaybank,,,,2022-03-06 22:49:43,2022-03-06 22:56:18,6m - 34.451s,PASSED
try,,,,2022-03-06 22:49:44,2022-03-06 22:56:18,6m - 34.039s,PASSED
,,,,,,,
Test Cases/Transfer/transfer_moneyTransferMaybankFuture,,,,2022-03-06 22:56:18,2022-03-06 22:58:23,2m - 4.942s,PASSED
"start = ""Starts""",,,,2022-03-06 22:56:18,2022-03-06 22:56:18,0.000s,PASSED
println(start),,,,2022-03-06 22:56:18,2022-03-06 22:56:18,0.000s,PASSED
delay(5),,,,2022-03-06 22:56:18,2022-03-06 22:56:23,5.009s,PASSED
"verifyElementVisible(findTestObject(""Banking/m2uAccountTransferIconSelect""), 0)",,,,2022-03-06 22:56:23,2022-03-06 22:56:23,0.343s,PASSED
"tap(findTestObject(""Banking/m2uAccountTransferIconSelect""), 0)",,,,2022-03-06 22:56:23,2022-03-06 22:56:34,10.488s,PASSED
delay(5),,,,2022-03-06 22:56:34,2022-03-06 22:56:39,5.002s,PASSED
"tap(findTestObject(""Banking/transferBanksIconSelect""), 0)",,,,2022-03-06 22:56:39,2022-03-06 22:57:32,53.056s,PASSED
"tap(findTestObject(""Banking/transferToMaybankSelect""), 0)",,,,2022-03-06 22:57:32,2022-03-06 22:57:33,0.789s,PASSED
"setText(findTestObject(""Banking/transferAccountNoInputField""), ""514012082699"", 0)",,,,2022-03-06 22:57:33,2022-03-06 22:57:35,2.369s,PASSED
hideKeyboard(),,,,2022-03-06 22:57:35,2022-03-06 22:57:39,4.146s,PASSED
"tap(findTestObject(""Login Onboarding/loginExistingContinueBtn""), 0)",,,,2022-03-06 22:57:39,2022-03-06 22:57:40,0.404s,PASSED
"tap(findTestObject(""Login Onboarding/PIN4""), 0)",,,,2022-03-06 22:57:40,2022-03-06 22:57:44,4.444s,PASSED
delay(3),,,,2022-03-06 22:57:44,2022-03-06 22:57:47,3.006s,PASSED
"tap(findTestObject(""Login Onboarding/loginPinTickBtn""), 0)",,,,2022-03-06 22:57:47,2022-03-06 22:57:48,0.466s,PASSED
"setText(findTestObject(""Banking/transferReferenceInputField""), ""AmountTranser"", 0)",,,,2022-03-06 22:57:48,2022-03-06 22:57:50,2.368s,PASSED
hideKeyboard(),,,,2022-03-06 22:57:50,2022-03-06 22:57:52,1.751s,PASSED
"tap(findTestObject(""Login Onboarding/loginExistingContinueBtn""), 0)",,,,2022-03-06 22:57:52,2022-03-06 22:57:52,0.405s,PASSED
"tap(findTestObject(""Main/mainDatePickerTodaySelect""), 0)",,,,2022-03-06 22:57:52,2022-03-06 22:57:56,3.459s,PASSED
"tap(findTestObject(""Main/mainCalenderPickerNextBtn""), 0)",,,,2022-03-06 22:57:56,2022-03-06 22:57:58,2.010s,PASSED
delay(3),,,,2022-03-06 22:57:58,2022-03-06 22:58:01,3.005s,PASSED
"tap(findTestObject(""Main/mainDatePicker1""), 0)",,,,2022-03-06 22:58:01,2022-03-06 22:58:01,0.440s,PASSED
"tap(findTestObject(""Main/mainCalenderPickerDoneBtn""), 0)",,,,2022-03-06 22:58:01,2022-03-06 22:58:02,0.766s,PASSED
"date = getText(findTestObject(""Main/mainGetTransactionDateTxt""), 10)",,,,2022-03-06 22:58:02,2022-03-06 22:58:03,0.773s,PASSED
"println(""Date is "" + date)",,,,2022-03-06 22:58:03,2022-03-06 22:58:03,0.001s,PASSED
"tap(findTestObject(""Main/mainTransferNowBtn""), 0)",,,,2022-03-06 22:58:03,2022-03-06 22:58:03,0.416s,PASSED
"if (verifyElementVisible(findTestObject(""Festive Season/seasonalGreetingAngpaoTACNoTxt""), 5, OPTIONAL))",,,,2022-03-06 22:58:03,2022-03-06 22:58:08,5.026s,PASSED
else,,,,2022-03-06 22:58:08,2022-03-06 22:58:14,5.530s,PASSED
delay(2),,,,2022-03-06 22:58:14,2022-03-06 22:58:16,2.010s,PASSED
"RefID = getText(findTestObject(""Transfer/transferTransactionRefIDTxt""), 10)",,,,2022-03-06 22:58:16,2022-03-06 22:58:17,1.586s,PASSED
"println(""Reference ID is"" + RefID)",,,,2022-03-06 22:58:17,2022-03-06 22:58:17,0.000s,PASSED
"verifyElementVisible(findTestObject(""Main/mainDoneBtn""), 3)",,,,2022-03-06 22:58:17,2022-03-06 22:58:17,0.221s,PASSED
"tap(findTestObject(""Main/mainDoneBtn""), 0)",,,,2022-03-06 22:58:17,2022-03-06 22:58:18,0.363s,PASSED
"println(""Payment Scheduled Test Case Completed"")",,,,2022-03-06 22:58:18,2022-03-06 22:58:18,0.000s,PASSED
delay(5),,,,2022-03-06 22:58:18,2022-03-06 22:58:23,5.008s,PASSED
,,,,,,,
Test Cases/Transfer/transfer_moneyTransferThirdParty,,,,2022-03-06 22:58:23,2022-03-06 23:01:09,2m - 46.387s,PASSED
"start = ""Starts""",,,,2022-03-06 22:58:23,2022-03-06 22:58:23,0.000s,PASSED
println(start),,,,2022-03-06 22:58:23,2022-03-06 22:58:23,0.000s,PASSED
delay(5),,,,2022-03-06 22:58:23,2022-03-06 22:58:28,5.011s,PASSED
"verifyElementVisible(findTestObject(""Banking/m2uAccountTransferIconSelect""), 0)",,,,2022-03-06 22:58:28,2022-03-06 22:58:28,0.364s,PASSED
"tap(findTestObject(""Banking/m2uAccountTransferIconSelect""), 0)",,,,2022-03-06 22:58:28,2022-03-06 22:58:39,10.568s,PASSED
delay(5),,,,2022-03-06 22:58:39,2022-03-06 22:58:44,5.010s,PASSED
"println(""InterBank Test Case Started"")",,,,2022-03-06 22:58:44,2022-03-06 22:58:44,0.000s,PASSED
"tap(findTestObject(""Banking/transferBanksIconSelect""), 0)",,,,2022-03-06 22:58:44,2022-03-06 22:59:37,52.852s,PASSED
"scrollToText(""PUBLIC BANK"", STOP_ON_FAILURE)",,,,2022-03-06 22:59:37,2022-03-06 22:59:49,11.839s,PASSED
"tap(findTestObject(""Banking/transferBankSelection"", [""text"":""PUBLIC BANK""]), 10)",,,,2022-03-06 22:59:49,2022-03-06 22:59:49,0.519s,PASSED
"setText(findTestObject(""Banking/transferAccountNoInputField""), accountNum, 0)",,,,2022-03-06 22:59:49,2022-03-06 22:59:52,2.433s,PASSED
hideKeyboard(),,,,2022-03-06 22:59:52,2022-03-06 22:59:56,4.753s,PASSED
"tap(findTestObject(""Login Onboarding/loginExistingContinueBtn""), 0)",,,,2022-03-06 22:59:56,2022-03-06 22:59:57,0.417s,PASSED
"tap(findTestObject(""Login Onboarding/PIN4""), 0)",,,,2022-03-06 22:59:57,2022-03-06 22:59:58,1.771s,PASSED
delay(3),,,,2022-03-06 22:59:58,2022-03-06 23:00:01,3.002s,PASSED
"tap(findTestObject(""Login Onboarding/loginPinTickBtn""), 0)",,,,2022-03-06 23:00:01,2022-03-06 23:00:02,0.476s,PASSED
