Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Regress 1,,,,2022-07-07 12:54:10,2022-07-07 13:17:29,23m - 18.237s,FAILED
,,,,,,,
Test Cases/Login Onboard/onboard_onboardIntoMAE,,,,2022-07-07 12:54:11,2022-07-07 12:56:40,2m - 29.615s,PASSED
"setMobileDriverPreferencesProperty(""appPackage"", ""com.maybank2u.life.sit"")",,,,2022-07-07 12:54:11,2022-07-07 12:54:11,0.001s,PASSED
"setMobileDriverPreferencesProperty(""appActivity"", ""com.maybank2u.life.MainActivity"")",,,,2022-07-07 12:54:11,2022-07-07 12:54:11,0.001s,PASSED
"startApplication(appPath, false)",,,,2022-07-07 12:54:11,2022-07-07 12:54:26,15.193s,PASSED
"if (verifyElementVisible(findTestObject(""Login Onboarding/onboardWelcomeSkipBtn""), 0, OPTIONAL))",,,,2022-07-07 12:54:26,2022-07-07 12:54:30,3.746s,PASSED
"tap(findTestObject(""Dashboard/dashboardSetUpWalletIcon""), 0)",,,,2022-07-07 12:54:30,2022-07-07 12:54:33,2.930s,PASSED
"tap(findTestObject(""Login Onboarding/getStartedExistingUserBtn""), 0)",,,,2022-07-07 12:54:33,2022-07-07 12:54:35,1.937s,PASSED
"setText(findTestObject(""Login Onboarding/loginExistingUsernameInputField""), Username, 0)",,,,2022-07-07 12:54:35,2022-07-07 12:54:37,2.592s,PASSED
hideKeyboard(),,,,2022-07-07 12:54:37,2022-07-07 12:54:40,2.113s,PASSED
"tap(findTestObject(""Login Onboarding/loginExistingContinueBtn""), 0)",,,,2022-07-07 12:54:40,2022-07-07 12:54:40,0.359s,PASSED
"waitForElementPresent(findTestObject(""Login Onboarding/loginExistingMineConfirmationBtn""), 50)",,,,2022-07-07 12:54:40,2022-07-07 12:54:42,1.710s,PASSED
"tap(findTestObject(""Login Onboarding/loginExistingMineConfirmationBtn""), 0)",,,,2022-07-07 12:54:42,2022-07-07 12:54:42,0.293s,PASSED
"setText(findTestObject(""Login Onboarding/loginPasswordInputField""), Password, 0)",,,,2022-07-07 12:54:42,2022-07-07 12:54:44,2.538s,PASSED
hideKeyboard(),,,,2022-07-07 12:54:44,2022-07-07 12:54:49,4.121s,PASSED
"tap(findTestObject(""Login Onboarding/loginExistingContinueBtn""), 0)",,,,2022-07-07 12:54:49,2022-07-07 12:54:49,0.413s,PASSED
"if (verifyElementVisible(findTestObject(""Login Onboarding/Proceed""), 3, OPTIONAL))",,,,2022-07-07 12:54:49,2022-07-07 12:54:52,3.133s,PASSED
else,,,,2022-07-07 12:54:52,2022-07-07 12:54:52,0.001s,PASSED
"tap(findTestObject(""Login Onboarding/PIN1""), 0)",,,,2022-07-07 12:54:52,2022-07-07 12:54:59,7.211s,PASSED
"tap(findTestObject(""Login Onboarding/PIN1""), 0)",,,,2022-07-07 12:54:59,2022-07-07 12:55:02,2.440s,PASSED
"tap(findTestObject(""Login Onboarding/PIN1""), 0)",,,,2022-07-07 12:55:02,2022-07-07 12:55:04,1.889s,PASSED
"tap(findTestObject(""Login Onboarding/PIN1""), 0)",,,,2022-07-07 12:55:04,2022-07-07 12:55:06,1.939s,PASSED
"tap(findTestObject(""Login Onboarding/PIN1""), 0)",,,,2022-07-07 12:55:06,2022-07-07 12:55:07,1.903s,PASSED
"tap(findTestObject(""Login Onboarding/PIN2""), 0)",,,,2022-07-07 12:55:07,2022-07-07 12:55:09,1.943s,PASSED
"tap(findTestObject(""Login Onboarding/loginPinTickBtn""), 0)",,,,2022-07-07 12:55:09,2022-07-07 12:55:11,1.902s,PASSED
delay(2),,,,2022-07-07 12:55:11,2022-07-07 12:55:13,2.016s,PASSED
"tap(findTestObject(""Login Onboarding/PIN1""), 0)",,,,2022-07-07 12:55:13,2022-07-07 12:55:14,0.463s,PASSED
"tap(findTestObject(""Login Onboarding/PIN1""), 0)",,,,2022-07-07 12:55:14,2022-07-07 12:55:16,1.773s,PASSED
