Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Regress 5,,,,2022-07-01 10:54:03,2022-07-01 11:47:11,53m - 8.087s,FAILED
,,,,,,,
Test Cases/Transfer/asnb_asnbTransfer,,,,2022-07-01 10:54:03,2022-07-01 11:01:47,7m - 43.597s,FAILED
"setMobileDriverPreferencesProperty(""appPackage"", ""com.maybank2u.life.uat"")",,,,2022-07-01 10:54:04,2022-07-01 10:54:04,0.002s,PASSED
"setMobileDriverPreferencesProperty(""appActivity"", ""com.maybank2u.life.MainActivity"")",,,,2022-07-01 10:54:04,2022-07-01 10:54:04,0.000s,PASSED
"startApplication(""/Users/a00139272/Katalon Studio/MAE/androidapp/app-sit-universal-release-copy.apk"", false)",,,,2022-07-01 10:54:04,2022-07-01 10:54:19,15.223s,PASSED
delay(5),,,,2022-07-01 10:54:19,2022-07-01 10:54:24,5.019s,PASSED
device_Height = getDeviceHeight(),,,,2022-07-01 10:54:24,2022-07-01 10:54:24,0.243s,PASSED
device_Width = getDeviceWidth(),,,,2022-07-01 10:54:24,2022-07-01 10:54:24,0.187s,PASSED
startX = device_Width / 3,,,,2022-07-01 10:54:24,2022-07-01 10:54:24,0.003s,PASSED
startY = device_Height * 0.97,,,,2022-07-01 10:54:24,2022-07-01 10:54:24,0.002s,PASSED
"tapAtPosition(startX, startY)",,,,2022-07-01 10:54:24,2022-07-01 10:54:25,0.249s,PASSED
"if (verifyElementVisible(findTestObject(""Main/mainEnterPINMessage""), 0, OPTIONAL))",,,,2022-07-01 10:54:25,2022-07-01 10:54:37,12.206s,PASSED
"verifyElementVisible(findTestObject(""Banking/m2uAccountTypeSelection"", [""text"":""MAE""]), 0)",,,,2022-07-01 10:54:37,2022-07-01 10:54:44,7.476s,PASSED
"tap(findTestObject(""Banking/m2uAccountTypeSelection"", [""text"":""MAE""]), 0)",,,,2022-07-01 10:54:44,2022-07-01 10:54:45,0.410s,PASSED
delay(5),,,,2022-07-01 10:54:45,2022-07-01 10:54:50,5.006s,PASSED
"tap(findTestObject(""Banking/m2uAccountTransferIconSelect""), 0)",,,,2022-07-01 10:54:50,2022-07-01 10:54:50,0.406s,PASSED
delay(3),,,,2022-07-01 10:54:50,2022-07-01 10:54:53,3.006s,PASSED
"if (verifyElementVisible(findTestObject(""Tabung/tabungEnterPasswordTxt""), 0, OPTIONAL))",,,,2022-07-01 10:54:53,2022-07-01 10:58:40,3m - 46.758s,PASSED
delay(3),,,,2022-07-01 10:58:40,2022-07-01 10:58:43,3.007s,PASSED
"tap(findTestObject(""ASNB/transferASNBTopBtn""), 0)",,,,2022-07-01 10:58:43,2022-07-01 10:59:44,1m - 0.693s,PASSED
"tap(findTestObject(""ASNB/asnbTransferBtn""), 0)",,,,2022-07-01 10:59:44,2022-07-01 11:00:37,53.010s,PASSED
"verifyElementExist(findTestObject(""ASNB/transferASNBProductNameTitleTxt""), 0)",,,,2022-07-01 11:00:37,2022-07-01 11:00:37,0.200s,PASSED
"verifyElementExist(findTestObject(""ASNB/transferASNBProductNameSelectTxt"", [""productName"":productNameInitial]), 0)",,,,2022-07-01 11:00:37,2022-07-01 11:00:37,0.187s,PASSED
"tap(findTestObject(""ASNB/asnbSelectProductDropdown""), 0)",,,,2022-07-01 11:00:37,2022-07-01 11:00:37,0.203s,PASSED
"verifyElementText(findTestObject(""ASNB/asnbProductEquity3DropdownSelection"", [""productType"":productType]), productType)",,,,2022-07-01 11:00:37,2022-07-01 11:00:38,1.211s,PASSED
"tap(findTestObject(""ASNB/asnbProductEquity3DropdownSelection"", [""productType"":productType]), 0)",,,,2022-07-01 11:00:38,2022-07-01 11:00:39,0.207s,PASSED
"tap(findTestObject(""Main/mainCalenderPickerDoneBtn""), 0)",,,,2022-07-01 11:00:39,2022-07-01 11:00:40,0.990s,PASSED
"verifyElementText(findTestObject(""ASNB/transferASNBProductNameSelectTxt"", [""productName"":productType]), productType)",,,,2022-07-01 11:00:40,2022-07-01 11:00:40,0.896s,PASSED
"verifyElementExist(findTestObject(""ASNB/SelectASNBMember"", [""idSelectType"":productNameInitial]), 0)",,,,2022-07-01 11:00:40,2022-07-01 11:00:41,0.372s,PASSED
"verifyElementExist(findTestObject(""ASNB/transferASNBIDTypeTitleTxt""), 0)",,,,2022-07-01 11:00:41,2022-07-01 11:00:41,0.290s,PASSED
"tap(findTestObject(""Object Repository/ASNB/SelectASNBMember"", [""idSelectType"":productNameInitial]), 0)",,,,2022-07-01 11:00:41,2022-07-01 11:00:41,0.349s,PASSED
"verifyElementText(findTestObject(""ASNB/asnbIDTypeDropdown"", [""idType"":idType]), idType)",,,,2022-07-01 11:00:41,2022-07-01 11:00:42,1.045s,PASSED
"tap(findTestObject(""ASNB/asnbIDTypeDropdown"", [""idType"":idType]), 0)",,,,2022-07-01 11:00:42,2022-07-01 11:00:43,0.239s,PASSED
"tap(findTestObject(""Main/mainCalenderPickerDoneBtn""), 0)",,,,2022-07-01 11:00:43,2022-07-01 11:00:43,0.211s,PASSED
"verifyElementText(findTestObject(""ASNB/SelectASNBMember"", [""idSelectType"":idType]), idType)",,,,2022-07-01 11:00:43,2022-07-01 11:00:44,0.892s,PASSED
"verifyElementExist(findTestObject(""ASNB/transferASNBIDNumberTitleTxt""), 0)",,,,2022-07-01 11:00:44,2022-07-01 11:00:44,0.322s,PASSED
"verifyElementExist(findTestObject(""ASNB/transferASNBIDNumberPlaceholderTxt"", [""id"":idPlaceholder]), 0)",,,,2022-07-01 11:00:44,2022-07-01 11:00:45,0.389s,PASSED
"setText(findTestObject(""ASNB/asnbIDNumberInputField""), idNo, 0)",,,,2022-07-01 11:00:45,2022-07-01 11:00:46,1.391s,PASSED
hideKeyboard(),,,,2022-07-01 11:00:46,2022-07-01 11:00:47,0.917s,PASSED
"verifyElementText(findTestObject(""ASNB/transferASNBIDNumberPlaceholderTxt"", [""id"":idNo]), idNo)",,,,2022-07-01 11:00:47,2022-07-01 11:00:47,0.341s,PASSED
"verifyElementExist(findTestObject(""ASNB/transferASNBMemberNumberTitleTxt""), 0)",,,,2022-07-01 11:00:47,2022-07-01 11:00:47,0.260s,PASSED
"verifyElementExist(findTestObject(""ASNB/transferASNBMemberNumberPlaceholderTxt"", [""member"":memberNoPlaceholder]), 0)",,,,2022-07-01 11:00:47,2022-07-01 11:00:48,0.278s,PASSED
"setText(findTestObject(""ASNB/asnbMembershipNoInputField""), asnbMemberNo, 0)",,,,2022-07-01 11:00:48,2022-07-01 11:00:49,1.331s,PASSED
hideKeyboard(),,,,2022-07-01 11:00:49,2022-07-01 11:00:50,0.727s,PASSED
"verifyElementText(findTestObject(""ASNB/transferASNBMemberNumberPlaceholderTxt"", [""member"":accNo]), accNo)",,,,2022-07-01 11:00:50,2022-07-01 11:00:50,0.324s,PASSED
"verifyElementExist(findTestObject(""ASNB/transferASNBRelationshipTitleTxt""), 0)",,,,2022-07-01 11:00:50,2022-07-01 11:00:50,0.257s,PASSED
"verifyElementExist(findTestObject(""ASNB/transferASNBRelationshipSelectTxt"", [""relationship"":productNameInitial]), 0)",,,,2022-07-01 11:00:50,2022-07-01 11:00:51,0.287s,PASSED
"tap(findTestObject(""ASNB/asnbRelationshipDropdownSelection""), 0)",,,,2022-07-01 11:00:51,2022-07-01 11:00:51,0.292s,PASSED
"verifyElementText(findTestObject(""ASNB/asnbRelationParentDropdownSelection"", [""relationships"":relationship]), relationship)",,,,2022-07-01 11:00:51,2022-07-01 11:00:52,1.057s,PASSED
"tap(findTestObject(""ASNB/asnbRelationParentDropdownSelection"", [""relationships"":relationship]), 0)",,,,2022-07-01 11:00:52,2022-07-01 11:00:52,0.260s,PASSED
"tap(findTestObject(""Main/mainCalenderPickerDoneBtn""), 0)",,,,2022-07-01 11:00:52,2022-07-01 11:00:52,0.185s,PASSED
"verifyElementText(findTestObject(""ASNB/transferASNBRelationshipSelectTxt"", [""relationship"":relationship]), relationship)",,,,2022-07-01 11:00:52,2022-07-01 11:00:53,0.859s,PASSED
"verifyElementExist(findTestObject(""ASNB/transferASNBPurposeTitleTxt""), 0)",,,,2022-07-01 11:00:53,2022-07-01 11:00:54,0.277s,PASSED
"verifyElementExist(findTestObject(""ASNB/transferASNBPurposeSelectTxt"", [""purpose"":productNameInitial]), 0)",,,,2022-07-01 11:00:54,2022-07-01 11:00:54,0.277s,PASSED
"tap(findTestObject(""ASNB/asnbPurposeDropdownSelection""), 0)",,,,2022-07-01 11:00:54,2022-07-01 11:00:54,0.319s,PASSED
"verifyElementText(findTestObject(""ASNB/asnbPurposeSavingDropdownSelection"", [""purposes"":purpose]), purpose)",,,,2022-07-01 11:00:54,2022-07-01 11:00:55,1.008s,PASSED
"tap(findTestObject(""ASNB/asnbPurposeSavingDropdownSelection"", [""purposes"":purpose]), 0)",,,,2022-07-01 11:00:55,2022-07-01 11:00:55,0.236s,PASSED
