Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Regress 1,,,,2022-06-16 10:29:07,2022-06-16 10:36:21,7m - 13.825s,PASSED
,,,,,,,
Test Cases/PayBill/payBills_todayTransaction,,,,2022-06-16 10:29:07,2022-06-16 10:32:29,3m - 21.549s,PASSED
"setMobileDriverPreferencesProperty(""appPackage"", ""com.maybank2u.life.uat"")",,,,2022-06-16 10:29:08,2022-06-16 10:29:08,0.001s,PASSED
"setMobileDriverPreferencesProperty(""appActivity"", ""com.maybank2u.life.MainActivity"")",,,,2022-06-16 10:29:08,2022-06-16 10:29:08,0.001s,PASSED
"startApplication(appPath, false)",,,,2022-06-16 10:29:08,2022-06-16 10:29:23,14.787s,PASSED
"verifyElementExist(findTestObject(""Object Repository/Dashboard/dashboardWalletTopSelect""), 0)",,,,2022-06-16 10:29:23,2022-06-16 10:29:27,4.321s,PASSED
"verifyElementExist(findTestObject(""Object Repository/Dashboard/dashboardQuickActionsTitleTxt""), 0)",,,,2022-06-16 10:29:27,2022-06-16 10:29:28,0.732s,PASSED
"verifyElementExist(findTestObject(""Object Repository/Dashboard/dashboardSSLTitleTxt""), 0)",,,,2022-06-16 10:29:28,2022-06-16 10:29:28,0.486s,PASSED
"verifyElementExist(findTestObject(""Object Repository/Dashboard/mainBottomMenuMaybank2uBtn""), 0)",,,,2022-06-16 10:29:28,2022-06-16 10:30:08,40.328s,PASSED
delay(5),,,,2022-06-16 10:30:08,2022-06-16 10:30:13,5.020s,PASSED
device_Height = getDeviceHeight(),,,,2022-06-16 10:30:13,2022-06-16 10:30:13,0.109s,PASSED
device_Width = getDeviceWidth(),,,,2022-06-16 10:30:13,2022-06-16 10:30:14,0.083s,PASSED
startX = device_Width / 3,,,,2022-06-16 10:30:14,2022-06-16 10:30:14,0.001s,PASSED
startY = device_Height * 0.97,,,,2022-06-16 10:30:14,2022-06-16 10:30:14,0.001s,PASSED
"tapAtPosition(startX, startY)",,,,2022-06-16 10:30:14,2022-06-16 10:30:14,0.219s,PASSED
"if (verifyElementVisible(findTestObject(""Main/mainEnterPINMessage""), 0, OPTIONAL))",,,,2022-06-16 10:30:14,2022-06-16 10:30:26,12.418s,PASSED
"tap(findTestObject(""Banking/m2uAccountTypeSelection"", [""text"":accType]), 10)",,,,2022-06-16 10:30:26,2022-06-16 10:30:34,7.951s,PASSED
"tap(findTestObject(""Banking/m2uAccountPayBillsIconSelect""), 0)",,,,2022-06-16 10:30:34,2022-06-16 10:30:38,3.479s,PASSED
"if (verifyElementVisible(findTestObject(""Login Onboarding/loginEnterPasswordMessage""), 0, OPTIONAL))",,,,2022-06-16 10:30:38,2022-06-16 10:30:48,10.542s,PASSED
"verifyElementExist(findTestObject(""Paybill/payBillsIconSelect""), 40)",,,,2022-06-16 10:30:48,2022-06-16 10:31:16,27.696s,PASSED
"tap(findTestObject(""Paybill/payBillsIconSelect""), 0)",,,,2022-06-16 10:31:16,2022-06-16 10:31:16,0.359s,PASSED
