Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Regress 3,,,,2022-07-04 12:30:51,2022-07-04 13:06:51,35m - 59.643s,FAILED
,,,,,,,
Test Cases/Transfer/transfer_instantTransferIBFT,,,,2022-07-04 12:30:51,2022-07-04 12:40:21,9m - 29.959s,PASSED
"setMobileDriverPreferencesProperty(""appPackage"", ""com.maybank2u.life.sit"")",,,,2022-07-04 12:30:52,2022-07-04 12:30:52,0.002s,PASSED
"setMobileDriverPreferencesProperty(""appActivity"", ""com.maybank2u.life.MainActivity"")",,,,2022-07-04 12:30:52,2022-07-04 12:30:52,0.000s,PASSED
"startApplication(appPath, false)",,,,2022-07-04 12:30:52,2022-07-04 12:31:07,15.231s,PASSED
"start = ""Starts""",,,,2022-07-04 12:31:07,2022-07-04 12:31:07,0.001s,PASSED
println(start),,,,2022-07-04 12:31:07,2022-07-04 12:31:07,0.003s,PASSED
delay(5),,,,2022-07-04 12:31:07,2022-07-04 12:31:12,5.030s,PASSED
device_Height = getDeviceHeight(),,,,2022-07-04 12:31:12,2022-07-04 12:31:12,0.170s,PASSED
device_Width = getDeviceWidth(),,,,2022-07-04 12:31:12,2022-07-04 12:31:12,0.098s,PASSED
startX = device_Width / 3,,,,2022-07-04 12:31:12,2022-07-04 12:31:12,0.002s,PASSED
startY = device_Height * 0.97,,,,2022-07-04 12:31:12,2022-07-04 12:31:12,0.001s,PASSED
"tapAtPosition(startX, startY)",,,,2022-07-04 12:31:12,2022-07-04 12:31:13,0.463s,PASSED
"if (verifyElementVisible(findTestObject(""Main/mainEnterPINMessage""), 0, OPTIONAL))",,,,2022-07-04 12:31:13,2022-07-04 12:31:26,13.009s,PASSED
"verifyElementVisible(findTestObject(""Banking/m2uAccountTypeSelection"", [""text"":accType]), 0)",,,,2022-07-04 12:31:26,2022-07-04 12:31:33,7.093s,PASSED
"tap(findTestObject(""Banking/m2uAccountTypeSelection"", [""text"":accType]), 0)",,,,2022-07-04 12:31:33,2022-07-04 12:31:33,0.443s,PASSED
delay(5),,,,2022-07-04 12:31:33,2022-07-04 12:31:38,5.006s,PASSED
"verifyElementVisible(findTestObject(""Banking/m2uAccountTransferIconSelect""), 0)",,,,2022-07-04 12:31:38,2022-07-04 12:31:39,0.335s,PASSED
"tap(findTestObject(""Banking/m2uAccountTransferIconSelect""), 0)",,,,2022-07-04 12:31:39,2022-07-04 12:31:39,0.325s,PASSED
delay(5),,,,2022-07-04 12:31:39,2022-07-04 12:31:44,5.003s,PASSED
"if (verifyElementVisible(findTestObject(""Tabung/tabungEnterPasswordTxt""), 0, OPTIONAL))",,,,2022-07-04 12:31:44,2022-07-04 12:35:31,3m - 47.092s,PASSED
"println(""InterBank Test Case Started"")",,,,2022-07-04 12:35:31,2022-07-04 12:35:31,0.001s,PASSED
"verifyElementExist(findTestObject(""Banking/transferOthersTopMenuSelect""), 0)",,,,2022-07-04 12:35:31,2022-07-04 12:36:02,30.781s,PASSED
"tap(findTestObject(""Banking/transferOthersTopMenuSelect""), 0)",,,,2022-07-04 12:36:02,2022-07-04 12:37:03,1m - 0.971s,PASSED
"tap(findTestObject(""Banking/transferBanksIconSelect""), 0)",,,,2022-07-04 12:37:03,2022-07-04 12:37:56,53.412s,PASSED
"scrollToText(accBank, STOP_ON_FAILURE)",,,,2022-07-04 12:37:56,2022-07-04 12:38:08,11.997s,PASSED
"tap(findTestObject(""Banking/transferBankSelection"", [""text"":accBank]), 10)",,,,2022-07-04 12:38:08,2022-07-04 12:38:09,0.507s,PASSED
"setText(findTestObject(""Banking/transferAccountNoInputField""), accountNum, 0)",,,,2022-07-04 12:38:09,2022-07-04 12:38:11,2.347s,PASSED
hideKeyboard(),,,,2022-07-04 12:38:11,2022-07-04 12:38:16,4.549s,PASSED
"tap(findTestObject(""Login Onboarding/loginExistingContinueBtn""), 0)",,,,2022-07-04 12:38:16,2022-07-04 12:38:16,0.279s,PASSED
"verifyElementText(findTestObject(""Transfer/transferAmounttAccNoTxt"", [""accNo"":accNo]), accNo)",,,,2022-07-04 12:38:16,2022-07-04 12:38:17,1.395s,PASSED
"verifyElementText(findTestObject(""Transfer/transferAmounttAccBankTxt"", [""accBank"":accBank]), accBank)",,,,2022-07-04 12:38:17,2022-07-04 12:38:18,0.372s,PASSED
"verifyElementExist(findTestObject(""Transfer/transferAmountRMTxt""), 0)",,,,2022-07-04 12:38:18,2022-07-04 12:38:18,0.535s,PASSED
"verifyElementExist(findTestObject(""Duit Now/duitNowAmountInitialValueTxt""), 0)",,,,2022-07-04 12:38:18,2022-07-04 12:38:19,0.365s,PASSED
"verifyElementExist(findTestObject(""Transfer/transferAmountEnterAmountTitleTxt""), 0)",,,,2022-07-04 12:38:19,2022-07-04 12:38:19,0.360s,PASSED
trxAmount = value,,,,2022-07-04 12:38:19,2022-07-04 12:38:19,0.000s,PASSED
length = trxAmount.length(),,,,2022-07-04 12:38:19,2022-07-04 12:38:19,0.001s,PASSED
delay(3),,,,2022-07-04 12:38:19,2022-07-04 12:38:22,3.010s,PASSED
"tapAtPosition(startX, startY)",,,,2022-07-04 12:38:22,2022-07-04 12:38:22,0.225s,PASSED
"for ([i = 0, i < length, (i++)])",,,,2022-07-04 12:38:22,2022-07-04 12:38:25,2.909s,PASSED
delay(3),,,,2022-07-04 12:38:25,2022-07-04 12:38:28,3.019s,PASSED
"verifyElementText(findTestObject(""Transfer/transferAmountInputValueTxt"", [""value"":checkValue]), checkValue)",,,,2022-07-04 12:38:28,2022-07-04 12:38:29,0.373s,PASSED
delay(3),,,,2022-07-04 12:38:29,2022-07-04 12:38:32,3.002s,PASSED
"tap(findTestObject(""Login Onboarding/loginPinTickBtn""), 0)",,,,2022-07-04 12:38:32,2022-07-04 12:38:32,0.380s,PASSED
delay(3),,,,2022-07-04 12:38:32,2022-07-04 12:38:35,3.008s,PASSED
"verifyElementText(findTestObject(""Transfer/transferReferenceAccNoTxt"", [""accNo"":accNo]), accNo)",,,,2022-07-04 12:38:35,2022-07-04 12:38:35,0.250s,PASSED
"verifyElementText(findTestObject(""Transfer/transferReferenceAccBankTxt"", [""accBank"":accBank]), accBank)",,,,2022-07-04 12:38:35,2022-07-04 12:38:36,0.283s,PASSED
"verifyElementExist(findTestObject(""Transfer/transferReferenceInputField""), 0)",,,,2022-07-04 12:38:36,2022-07-04 12:38:36,0.184s,PASSED
"setText(findTestObject(""Banking/transferReferenceInputField""), reference, 0)",,,,2022-07-04 12:38:36,2022-07-04 12:38:37,0.873s,PASSED
hideKeyboard(),,,,2022-07-04 12:38:37,2022-07-04 12:38:39,1.982s,PASSED
"verifyElementText(findTestObject(""Transfer/transferReferenceInputFieldAfter"", [""reference"":reference]), reference)",,,,2022-07-04 12:38:39,2022-07-04 12:38:39,0.283s,PASSED
"tap(findTestObject(""Login Onboarding/loginExistingContinueBtn""), 0)",,,,2022-07-04 12:38:39,2022-07-04 12:38:39,0.282s,PASSED
"verifyElementText(findTestObject(""Transfer/transferReferenceAccNoTxt"", [""accNo"":accNo]), accNo)",,,,2022-07-04 12:38:39,2022-07-04 12:38:39,0.131s,PASSED
"verifyElementText(findTestObject(""Transfer/transferReferenceAccBankTxt"", [""accBank"":accBank]), accBank)",,,,2022-07-04 12:38:39,2022-07-04 12:38:39,0.169s,PASSED
delay(3),,,,2022-07-04 12:38:39,2022-07-04 12:38:42,3.012s,PASSED
"tap(findTestObject(""Banking/transferTypeDropdownSelection""), 0)",,,,2022-07-04 12:38:42,2022-07-04 12:38:43,0.641s,PASSED
"scrollToText(""Fund Transfer"", STOP_ON_FAILURE)",,,,2022-07-04 12:38:43,2022-07-04 12:38:47,3.744s,PASSED
"tap(findTestObject(""Banking/tansferTypeFundDropdownSelection""), 0)",,,,2022-07-04 12:38:47,2022-07-04 12:38:47,0.309s,PASSED
"tap(findTestObject(""Banking/transferModeDropdownDoneBtn""), 0)",,,,2022-07-04 12:38:47,2022-07-04 12:38:47,0.178s,PASSED
delay(3),,,,2022-07-04 12:38:47,2022-07-04 12:38:50,3.005s,PASSED
"verifyElementExist(findTestObject(""Transfer/instantTransferModeDuitTxt"", [""mode"":initialMode]), 0)",,,,2022-07-04 12:38:50,2022-07-04 12:38:51,0.282s,PASSED
"verifyElementExist(findTestObject(""Transfer/instantTransferModeTitleTxt""), 0)",,,,2022-07-04 12:38:51,2022-07-04 12:38:51,0.256s,PASSED
"verifyElementExist(findTestObject(""Transfer/instantTransferTypeFundTxt""), 0)",,,,2022-07-04 12:38:51,2022-07-04 12:38:51,0.211s,PASSED
"verifyElementExist(findTestObject(""Transfer/instantTransferTypeTitleTxt""), 0)",,,,2022-07-04 12:38:51,2022-07-04 12:38:51,0.231s,PASSED
"tap(findTestObject(""Login Onboarding/loginExistingContinueBtn""), 0)",,,,2022-07-04 12:38:51,2022-07-04 12:38:52,0.320s,PASSED
"verifyElementText(findTestObject(""Transfer/transferConfirmationTransactionDateTxt""), trxDate)",,Verify confirmation page,,2022-07-04 12:38:52,2022-07-04 12:38:57,5.565s,PASSED
"verifyElementText(findTestObject(""Transfer/transferConfirmationAccountNameTxt"", [""accName"":accName]), accName)",,,,2022-07-04 12:38:57,2022-07-04 12:38:58,0.290s,PASSED
"verifyElementText(findTestObject(""Transfer/transferConfirmationAccountNoTxt"", [""accNo"":accNo]), accNo)",,,,2022-07-04 12:38:58,2022-07-04 12:38:58,0.813s,PASSED
"verifyElementText(findTestObject(""Transfer/transferConfirmationAmountTxt"", [""amount"":amount]), amount)",,,,2022-07-04 12:38:58,2022-07-04 12:38:58,0.164s,PASSED
"verifyElementText(findTestObject(""Transfer/transferConfirmationTransactionRecRefTxt"", [""reference"":reference]), reference)",,,,2022-07-04 12:38:58,2022-07-04 12:38:59,0.164s,PASSED
"verifyElementText(findTestObject(""Transfer/transferConfirmationTransactionBankTxt"", [""accBank"":accBank]), accBank)",,,,2022-07-04 12:38:59,2022-07-04 12:38:59,0.171s,PASSED
"verifyElementText(findTestObject(""Transfer/transferConfirmationOptionalGreyWordTxt""), ""Optional"")",,,,2022-07-04 12:38:59,2022-07-04 12:38:59,0.151s,PASSED
"verifyElementText(findTestObject(""Transfer/instantTransferConfirmationTransactionTypeTxt""), trxType)",,,,2022-07-04 12:38:59,2022-07-04 12:38:59,0.156s,PASSED
"verifyElementText(findTestObject(""Transfer/instantTransferConfirmationTransactionModeTxt"", [""modeC"":initialMode]), initialMode)",,,,2022-07-04 12:38:59,2022-07-04 12:38:59,0.168s,PASSED
"verifyElementText(findTestObject(""Transfer/instantTransferConfirmationTransactionServiceTxt""), ""RM 0.00"")",,,,2022-07-04 12:38:59,2022-07-04 12:39:00,0.244s,PASSED
"verifyElementExist(findTestObject(""Transfer/transferConfirmationBankNameTitleTxt""), 0)",,,,2022-07-04 12:39:00,2022-07-04 12:39:00,0.287s,PASSED
"verifyElementExist(findTestObject(""Transfer/transferConfirmationDateTitleTxt""), 0)",,,,2022-07-04 12:39:00,2022-07-04 12:39:00,0.291s,PASSED
"verifyElementExist(findTestObject(""Transfer/transferConfirmationRecRefTitleTxt""), 0)",,,,2022-07-04 12:39:00,2022-07-04 12:39:00,0.318s,PASSED
"verifyElementExist(findTestObject(""Transfer/transferConfirmationPaymentDetailsTitleTxt""), 0)",,,,2022-07-04 12:39:00,2022-07-04 12:39:01,0.335s,PASSED
"verifyElementExist(findTestObject(""Transfer/instantTransferConfirmationModeTitleTxt""), 0)",,,,2022-07-04 12:39:01,2022-07-04 12:39:02,0.785s,PASSED
"verifyElementExist(findTestObject(""Transfer/instantTransferConfirmationServiceFeeTitleTxt""), 0)",,,,2022-07-04 12:39:02,2022-07-04 12:39:02,0.343s,PASSED
"verifyElementExist(findTestObject(""Transfer/instantTransferConfirmationTypeTitleTxt""), 0)",,,,2022-07-04 12:39:02,2022-07-04 12:39:02,0.329s,PASSED
"verifyElementExist(findTestObject(""Transfer/transferConfirmationNoteTitleTxt""), 0)",,,,2022-07-04 12:39:02,2022-07-04 12:39:02,0.257s,PASSED
"tap(findTestObject(""Transfer/transferConfirmationOptionalGreyWordTxt""), 0)",,,,2022-07-04 12:39:02,2022-07-04 12:39:03,0.250s,PASSED
"setText(findTestObject(""Transfer/transferConfirmationDetailsInputField""), details, 0)",,,,2022-07-04 12:39:03,2022-07-04 12:39:06,3.194s,PASSED
hideKeyboard(),,,,2022-07-04 12:39:06,2022-07-04 12:39:08,2.152s,PASSED
"verifyElementText(findTestObject(""Transfer/transferConfirmationOptionalGreyWordTxt""), details)",,,,2022-07-04 12:39:08,2022-07-04 12:39:08,0.338s,PASSED
device_Height_2 = getDeviceHeight(),,,,2022-07-04 12:39:08,2022-07-04 12:39:09,0.088s,PASSED
device_Width_2 = getDeviceWidth(),,,,2022-07-04 12:39:09,2022-07-04 12:39:09,0.096s,PASSED
startX_2 = device_Width_2 / 2,,,,2022-07-04 12:39:09,2022-07-04 12:39:09,0.000s,PASSED
endX_2 = startX_2,,,,2022-07-04 12:39:09,2022-07-04 12:39:09,0.000s,PASSED
startY_2 = device_Height_2 * 0.30,,,,2022-07-04 12:39:09,2022-07-04 12:39:09,0.000s,PASSED
