Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Regress 3,,,,2022-06-15 19:12:09,2022-06-15 19:41:11,29m - 2.553s,FAILED
,,,,,,,
Test Cases/Transfer/transfer_thirdPartyToday,,,,2022-06-15 19:12:09,2022-06-15 19:20:08,7m - 59.234s,PASSED
"setMobileDriverPreferencesProperty(""appPackage"", ""com.maybank2u.life.uat"")",,,,2022-06-15 19:12:10,2022-06-15 19:12:10,0.002s,PASSED
"setMobileDriverPreferencesProperty(""appActivity"", ""com.maybank2u.life.MainActivity"")",,,,2022-06-15 19:12:10,2022-06-15 19:12:10,0.000s,PASSED
if (isApplicationOpened == false),,,,2022-06-15 19:12:10,2022-06-15 19:12:25,15.531s,PASSED
delay(5),,,,2022-06-15 19:12:25,2022-06-15 19:12:30,5.021s,PASSED
device_Height = getDeviceHeight(),,,,2022-06-15 19:12:30,2022-06-15 19:12:30,0.175s,PASSED
device_Width = getDeviceWidth(),,,,2022-06-15 19:12:30,2022-06-15 19:12:30,0.109s,PASSED
startX = device_Width / 3,,,,2022-06-15 19:12:30,2022-06-15 19:12:30,0.002s,PASSED
startY = device_Height * 0.97,,,,2022-06-15 19:12:30,2022-06-15 19:12:31,0.002s,PASSED
"tapAtPosition(startX, startY)",,,,2022-06-15 19:12:31,2022-06-15 19:12:31,0.259s,PASSED
"if (verifyElementVisible(findTestObject(""Main/mainEnterPINMessage""), 0, OPTIONAL))",,,,2022-06-15 19:12:31,2022-06-15 19:12:44,13.198s,PASSED
"verifyElementVisible(findTestObject(""Banking/m2uAccountTypeSelection"", [""text"":""MAE""]), 10)",,,,2022-06-15 19:12:44,2022-06-15 19:12:51,6.583s,PASSED
"tap(findTestObject(""Banking/m2uAccountTypeSelection"", [""text"":""MAE""]), 10)",,,,2022-06-15 19:12:51,2022-06-15 19:12:51,0.468s,PASSED
delay(5),,,,2022-06-15 19:12:51,2022-06-15 19:12:56,5.003s,PASSED
"verifyElementVisible(findTestObject(""Banking/m2uAccountTransferIconSelect""), 0)",,,,2022-06-15 19:12:56,2022-06-15 19:12:56,0.328s,PASSED
"tap(findTestObject(""Banking/m2uAccountTransferIconSelect""), 0)",,,,2022-06-15 19:12:56,2022-06-15 19:12:57,0.308s,PASSED
delay(5),,,,2022-06-15 19:12:57,2022-06-15 19:13:02,5.006s,PASSED
"if (verifyElementVisible(findTestObject(""Tabung/tabungEnterPasswordTxt""), 10, OPTIONAL))",,,,2022-06-15 19:13:02,2022-06-15 19:16:49,3m - 47.167s,PASSED
"tap(findTestObject(""Banking/transferOthersTopMenuSelect""), 0)",,,,2022-06-15 19:16:49,2022-06-15 19:17:50,1m - 1.067s,PASSED
"tap(findTestObject(""Banking/transferBanksIconSelect""), 0)",,,,2022-06-15 19:17:50,2022-06-15 19:18:43,53.218s,PASSED
"tap(findTestObject(""Banking/transferToMaybankSelect""), 0)",,,,2022-06-15 19:18:43,2022-06-15 19:18:44,0.548s,PASSED
delay(3),,,,2022-06-15 19:18:44,2022-06-15 19:18:47,3.004s,PASSED
"verifyElementExist(findTestObject(""Banking/transferAccountNoInputField""), 0)",,,,2022-06-15 19:18:47,2022-06-15 19:18:47,0.174s,PASSED
"setText(findTestObject(""Banking/transferAccountNoInputField""), accountNum, 0)",,,,2022-06-15 19:18:47,2022-06-15 19:18:48,0.848s,PASSED
hideKeyboard(),,,,2022-06-15 19:18:48,2022-06-15 19:18:52,4.670s,PASSED
"tap(findTestObject(""Login Onboarding/loginExistingContinueBtn""), 0)",,,,2022-06-15 19:18:52,2022-06-15 19:18:53,0.321s,PASSED
"verifyElementText(findTestObject(""Transfer/transferAmounttAccNameTxt"", [""accName"":accName]), accName)",,,,2022-06-15 19:18:53,2022-06-15 19:18:56,3.581s,PASSED
"verifyElementText(findTestObject(""Transfer/transferAmounttAccNoTxt"", [""accNo"":accNo]), accNo)",,,,2022-06-15 19:18:56,2022-06-15 19:18:56,0.240s,PASSED
"verifyElementText(findTestObject(""Transfer/transferAmounttAccBankTxt"", [""accBank"":accBank]), accBank)",,,,2022-06-15 19:18:56,2022-06-15 19:18:57,0.252s,PASSED
"verifyElementExist(findTestObject(""Transfer/transferAmountRMTxt""), 0)",,,,2022-06-15 19:18:57,2022-06-15 19:18:57,0.495s,PASSED
"verifyElementExist(findTestObject(""Transfer/transferAmountEnterAmountTitleTxt""), 0)",,,,2022-06-15 19:18:57,2022-06-15 19:18:58,0.282s,PASSED
"verifyElementExist(findTestObject(""Login Onboarding/PIN4""), 0)",,,,2022-06-15 19:18:58,2022-06-15 19:18:58,0.320s,PASSED
"tap(findTestObject(""Login Onboarding/PIN4""), 0)",,,,2022-06-15 19:18:58,2022-06-15 19:18:58,0.297s,PASSED
"verifyElementText(findTestObject(""Transfer/transferAmountInputValueTxt"", [""value"":checkValue]), checkValue)",,,,2022-06-15 19:18:58,2022-06-15 19:18:59,0.921s,PASSED
delay(3),,,,2022-06-15 19:18:59,2022-06-15 19:19:02,3.002s,PASSED
"tap(findTestObject(""Login Onboarding/loginPinTickBtn""), 0)",,,,2022-06-15 19:19:02,2022-06-15 19:19:02,0.400s,PASSED
"verifyElementText(findTestObject(""Transfer/transferReferenceAccNameTxt"", [""accName"":accName]), accName)",,,,2022-06-15 19:19:02,2022-06-15 19:19:04,1.985s,PASSED
"verifyElementText(findTestObject(""Transfer/transferReferenceAccNoTxt"", [""accNo"":accNo]), accNo)",,,,2022-06-15 19:19:04,2022-06-15 19:19:05,0.180s,PASSED
"verifyElementText(findTestObject(""Transfer/transferReferenceAccBankTxt"", [""accBank"":accBank]), accBank)",,,,2022-06-15 19:19:05,2022-06-15 19:19:05,0.185s,PASSED
"verifyElementExist(findTestObject(""Transfer/transferReferenceInputField""), 0)",,,,2022-06-15 19:19:05,2022-06-15 19:19:05,0.146s,PASSED
"setText(findTestObject(""Banking/transferReferenceInputField""), reference, 0)",,,,2022-06-15 19:19:05,2022-06-15 19:19:06,0.835s,PASSED
hideKeyboard(),,,,2022-06-15 19:19:06,2022-06-15 19:19:08,1.855s,PASSED
"verifyElementText(findTestObject(""Transfer/transferReferenceInputFieldAfter"", [""reference"":reference]), reference)",,,,2022-06-15 19:19:08,2022-06-15 19:19:08,0.265s,PASSED
"tap(findTestObject(""Login Onboarding/loginExistingContinueBtn""), 0)",,,,2022-06-15 19:19:08,2022-06-15 19:19:08,0.298s,PASSED
"verifyElementText(findTestObject(""Transfer/transferConfirmationAccountNameTxt"", [""accName"":accName]), accName)",,,,2022-06-15 19:19:08,2022-06-15 19:19:08,0.245s,PASSED
"verifyElementText(findTestObject(""Transfer/transferConfirmationAccountNoTxt"", [""accNo"":accNo]), accNo)",,,,2022-06-15 19:19:08,2022-06-15 19:19:09,0.216s,PASSED
"verifyElementText(findTestObject(""Transfer/transferConfirmationAmountTxt"", [""amount"":amount]), amount)",,,,2022-06-15 19:19:09,2022-06-15 19:19:12,3.092s,PASSED
"verifyElementText(findTestObject(""Transfer/transferConfirmationTransactionDateTxt""), ""Today"")",,,,2022-06-15 19:19:12,2022-06-15 19:19:12,0.323s,PASSED
"verifyElementText(findTestObject(""Transfer/transferConfirmationTransactionRecRefTxt"", [""reference"":reference]), reference)",,,,2022-06-15 19:19:12,2022-06-15 19:19:12,0.294s,PASSED
