Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Regress 2,,,,2022-06-30 14:25:15,2022-06-30 14:37:19,12m - 3.788s,PASSED
,,,,,,,
Test Cases/Others/ticketing_buyKLIATicket,,,,2022-06-30 14:25:15,2022-06-30 14:27:59,2m - 43.976s,PASSED
"setMobileDriverPreferencesProperty(""appPackage"", ""com.maybank2u.life.uat"")",,,,2022-06-30 14:25:16,2022-06-30 14:25:16,0.001s,PASSED
"setMobileDriverPreferencesProperty(""appActivity"", ""com.maybank2u.life.MainActivity"")",,,,2022-06-30 14:25:16,2022-06-30 14:25:16,0.001s,PASSED
"startApplication(appPath, false)",,,,2022-06-30 14:25:16,2022-06-30 14:25:31,15.809s,PASSED
"verifyElementExist(findTestObject(""Object Repository/Dashboard/dashboardWalletTopSelect""), 0)",,,,2022-06-30 14:25:31,2022-06-30 14:25:36,4.154s,PASSED
"verifyElementExist(findTestObject(""Object Repository/Dashboard/dashboardQuickActionsTitleTxt""), 0)",,,,2022-06-30 14:25:36,2022-06-30 14:25:37,1.023s,PASSED
delay(5),,,,2022-06-30 14:25:37,2022-06-30 14:25:42,5.019s,PASSED
device_Height = getDeviceHeight(),,,,2022-06-30 14:25:42,2022-06-30 14:25:42,0.300s,PASSED
device_Width = getDeviceWidth(),,,,2022-06-30 14:25:42,2022-06-30 14:25:42,0.144s,PASSED
startX = device_Width / 3,,,,2022-06-30 14:25:42,2022-06-30 14:25:42,0.002s,PASSED
startY = device_Height * 0.97,,,,2022-06-30 14:25:42,2022-06-30 14:25:42,0.001s,PASSED
"tapAtPosition(startX, startY)",,,,2022-06-30 14:25:42,2022-06-30 14:25:42,0.235s,PASSED
"if (verifyElementVisible(findTestObject(""Main/mainEnterPINMessage""), 0, OPTIONAL))",,,,2022-06-30 14:25:42,2022-06-30 14:25:55,12.593s,PASSED
"waitForElementPresent(findTestObject(""Banking/m2uAccountTypeSelection"", [""text"":""MAE""]), 0)",,,,2022-06-30 14:25:55,2022-06-30 14:26:12,17.108s,PASSED
"tap(findTestObject(""Banking/m2uAccountTypeSelection"", [""text"":""MAE""]), 0)",,,,2022-06-30 14:26:12,2022-06-30 14:26:12,0.402s,PASSED
delay(5),,,,2022-06-30 14:26:12,2022-06-30 14:26:17,5.003s,PASSED
"waitForElementPresent(findTestObject(""Banking/m2uAccountPayBillsIconSelect""), 0)",,,,2022-06-30 14:26:17,2022-06-30 14:26:18,0.277s,PASSED
"if (getDeviceManufacturer() == ""samsung"")",,,,2022-06-30 14:26:18,2022-06-30 14:26:18,0.010s,PASSED
else,,,,2022-06-30 14:26:18,2022-06-30 14:26:19,1.163s,PASSED
"waitForElementPresent(findTestObject(""Banking/m2uAccountERLIconSelect""), 0)",,,,2022-06-30 14:26:19,2022-06-30 14:26:19,0.380s,PASSED
"tap(findTestObject(""Banking/m2uAccountERLIconSelect""), 0)",,,,2022-06-30 14:26:19,2022-06-30 14:26:20,0.471s,PASSED
"delay(3, CONTINUE_ON_FAILURE)",,,,2022-06-30 14:26:20,2022-06-30 14:26:23,3.006s,PASSED
